Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
,,,,,25.50,Put,0.01s,N/A,40,10.00
,,,,,26.00,Put,0.01s,N/A,40,10.00
,,,,,27.50,Put,0.01s,N/A,30,10.00
,,,,,28.00,Put,0.01s,N/A,85,10.00
,,,,,28.50,Put,0.01s,N/A,63,10.00
,,,,,29.00,Put,0.01s,N/A,20,10.00
,,,,,29.50,Put,0.01s,N/A,1,10.00
,,,,,30.00,Put,0.01s,N/A,166,10.00
,,,,,31.00,Put,0.01s,N/A,78,10.00
,,,,,31.50,Put,0.01s,N/A,63,10.00
,,,,,32.00,Put,0.01s,N/A,85,10.00
,,,,,32.50,Put,0.01s,N/A,167,10.00
,,,,,33.00,Put,0.01s,N/A,275,10.00
,,,,,33.50,Put,0.01s,N/A,15,10.00
,,,,,34.00,Put,0.01s,N/A,514,10.00
,,,,,34.50,Put,0.01s,N/A,5,10.00
Call,50.76s,75,N/A,"50,760.00",35.00,Put,0.01s,N/A,374,10.00
,,,,,35.50,Put,0.01s,N/A,495,10.00
,,,,,36.00,Put,0.01s,N/A,682,10.00
,,,,,36.50,Put,0.01s,N/A,172,10.00
,,,,,37.00,Put,0.01s,N/A,325,10.00
,,,,,37.50,Put,0.01s,N/A,157,10.00
,,,,,38.00,Put,0.01s,N/A,167,10.00
,,,,,38.50,Put,0.01s,N/A,113,10.00
,,,,,39.00,Put,0.01s,N/A,251,10.00
,,,,,39.50,Put,0.01s,N/A,464,10.00
,,,,,40.00,Put,0.01s,N/A,"1,187",10.00
,,,,,40.50,Put,0.01s,N/A,40,10.00
,,,,,41.00,Put,0.01s,N/A,628,10.00
,,,,,41.50,Put,0.01s,N/A,125,10.00
,,,,,42.00,Put,0.01s,7,301,10.00
,,,,,42.50,Put,0.01s,N/A,94,10.00
,,,,,43.00,Put,0.01s,N/A,"1,165",10.00
,,,,,43.50,Put,0.01s,N/A,329,10.00
,,,,,44.00,Put,0.01s,N/A,245,10.00
,,,,,44.50,Put,0.01s,N/A,307,10.00
,,,,,45.00,Put,0.01s,N/A,"1,741",10.00
,,,,,45.50,Put,0.01s,N/A,110,10.00
Call,39.76s,N/A,2,"39,760.00",46.00,Put,0.01s,"1,740","3,166",10.00
Call,39.26s,N/A,1,"39,260.00",46.50,Put,0.01s,N/A,211,10.00
,,,,,47.00,Put,0.01s,392,738,10.00
Call,38.26s,N/A,1,"38,260.00",47.50,Put,0.01s,N/A,265,10.00
,,,,,48.00,Put,0.01s,N/A,"2,677",10.00
,,,,,48.50,Put,0.01s,N/A,40,10.00
,,,,,49.00,Put,0.01s,N/A,98,10.00
Call,36.26s,N/A,1,"36,260.00",49.50,Put,0.01s,1,"1,294",10.00
Call,35.76s,N/A,1,"35,760.00",50.00,Put,0.01s,862,"6,363",10.00
Call,35.26s,N/A,1,"35,260.00",50.50,Put,0.01s,N/A,279,10.00
Call,34.76s,N/A,2,"34,760.00",51.00,Put,0.01s,870,"1,046",10.00
